	17-AAG	AEW541	AZD0530	AZD6244	Erlotinib	Irinotecan	L-685458	Lapatinib	LBW242	Nilotinib	Nutlin-3	Paclitaxel	Panobinostat	PD-0325901	PD-0332991	PF2341066	PHA-665752	PLX4720	RAF265	Sorafenib	TAE684	TKI258	Topotecan	ZD-6474
8MGBA_CENTRAL_NERVOUS_SYSTEM	0.218940899	8.212996525	8.197375441	NaN	8.840923608	NaN	1.788302779	NaN	0.102516502	NaN	2.16491437	0.010662435	0.102821738	0.045730248	NaN	3.795654535	NaN	8.007722953	NaN	NaN	2.152258635	NaN	0.292145699	8.797932488
A172_CENTRAL_NERVOUS_SYSTEM	0.179407626	8.41962147	NaN	NaN	NaN	0.372975737	NaN	NaN	NaN	NaN	8.390719614	0.025582919	0.100972928	8.860050457	NaN	3.016013384	NaN	NaN	0.910875261	8.036559526	3.027561903	8.906422598	0.165941164	NaN
A204_SOFT_TISSUE	0.01808529	4.163712025	4.898123264	NaN	NaN	0.169355199	NaN	8.038060305	0.774010301	0.724007547	8.41821977	0.002542614	0.012316435	NaN	0.40728718	2.789777994	8.134110117	7.102776051	0.194292203	0.36103496	3.246451139	0.593901813	0.311142296	1.614992142
A2058_SKIN	0.041432258	8.731296965	NaN	0.346551329	NaN	0.144011647	NaN	8.785079022	NaN	NaN	NaN	0.002542614	0.065190196	0.034894064	NaN	8.005800769	7.817465305	0.698621452	9.037688401	NaN	6.841276169	8.543903855	0.274110109	8.066042893
A253_SALIVARY_GLAND	0.343221009	NaN	1.790827632	1.226856112	1.207963228	NaN	NaN	0.343154937	NaN	NaN	NaN	0.002542614	0.060132839	0.18387711	NaN	3.45032382	NaN	NaN	1.323017716	8.098523288	8.005974884	8.44733911	0.090558119	2.456981182
A2780_OVARY	0.030796837	8.735670688	NaN	1.164510131	8.98629013	0.060857885	6.815227032	8.644919667	NaN	8.225344173	3.0302358	0.008888107	0.054409821	0.002542614	8.182728065	2.13275	NaN	3.54411912	1.472401023	8	1.3314949	1.251770616	0.049875863	2.095184088
A375_SKIN	0.150489956	8.043994423	0.269842952	0.081431821	8.040614408	0.149714738	NaN	3.254554749	NaN	3.652579784	7.375132084	0.011357177	0.04371772	0.002542614	2.720161438	5.987625122	4.208201885	0.202794954	0.359756052	8.013059141	0.86318785	4.131525517	0.302082032	8.102954437
A549_LUNG	0.077502377	3.299131155	8.28133539	8.680621804	2.394717693	0.441799313	NaN	8.692716262	NaN	8.150643814	8.057238218	0.002542614	0.051568892	8.272846487	1.144818544	8.102258869	NaN	6.212217331	8.027367922	8.012370158	1.762624145	9.106064566	1.103730559	2.060424089
A673_BONE	0.164396465	0.627646148	1.160511017	NaN	0.002542614	NaN	NaN	NaN	1.223903775	NaN	NaN	0.002542614	0.024551492	NaN	8.161316205	1.995349169	NaN	2.63427043	0.581497669	NaN	0.597751021	8.240357362	0.039823662	2.042734623
ACHN_KIDNEY	0.472540706	8.709852235	1.12213552	0.888495207	0.513201594	NaN	NaN	1.667333007	1.548313618	NaN	4.133451939	0.075328134	0.043252539	1.646963716	NaN	2.541533709	NaN	2.402731419	0.183958247	8.125815592	2.297744036	1.838894606	0.097282439	1.83044517
ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.720209777	2.117016077	0.197714925	0.379500955	8.806416587	0.025213882	0.312413216	8.910315347	0.805002749	0.002542614	1.074234247	0.011702765	0.006205012	0.01040253	2.929170132	0.79295373	3.653612375	5.82069397	1.101508617	2.614011049	0.907129347	3.134953022	0.009421443	0.881551325
AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.022205526	NaN	2.541367769	8.296634545	2.553803444	0.103395186	3.79178071	NaN	NaN	1.900959373	8.903125595	0.009094584	0.01208159	0.052927416	8.781573376	8.786033476	4.153167725	NaN	2.248883486	8.238699151	0.435161233	2.629908562	0.065605089	3.582254648
AN3CA_ENDOMETRIUM	0.073025443	0.275005132	3.093264818	2.69486618	1.775448561	NaN	9.242966539	NaN	NaN	NaN	1.97778511	0.020010201	0.094054878	8.418642987	5.905437946	NaN	NaN	NaN	9.46728484	NaN	NaN	8.872846812	3.379252911	1.228989482
ASPC1_PANCREAS	0.08627671	1.181465507	4.551605	2.141568422	3.7248404	0.720041	NaN	NaN	NaN	NaN	NaN	0.018581377	0.04492297	0.002542614	NaN	3.4122646	8.37231647	NaN	1.4657558	NaN	0.7527784	2.959561586	1.6640792	1.773178816
AU565_BREAST	0.021328464	9.06517521	NaN	NaN	2.978539467	NaN	NaN	0.204432026	NaN	8.138304193	NaN	0.007013516	0.030530715	NaN	0.992861688	7.183713436	NaN	NaN	8.669332635	7.585767269	NaN	8.810607541	0.129808277	7.054640293
AZ521_STOMACH	0.26370734	8.542888842	0.327015966	NaN	0.738949239	0.005311401	3.106809855	NaN	2.891720295	NaN	1.860834122	0.008790219	0.032986052	8.963079472	NaN	NaN	NaN	NaN	0.263042331	8.344521814	0.886311471	0.985134304	0.21271944	2.306582928
BCPAP_THYROID	0.184246182	8.88907626	2.507880688	0.310981452	7.366518974	0.196432203	9.10469347	NaN	NaN	8.390072637	NaN	0.003602189	0.083346076	0.002542614	4.510300636	6.728606701	NaN	0.488040358	0.182435364	1.827238917	1.240136504	8.766764395	0.382179022	NaN
BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.200280085	NaN	0.499204725	0.240021586	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.004356126	0.076979689	0.05667638	1.099745512	NaN	NaN	NaN	8.063882909	NaN	NaN	3.828689575	0.097587034	0.553195119
BFTC909_KIDNEY	0.081238762	8.839999134	3.534188747	NaN	NaN	NaN	9.266074331	NaN	NaN	NaN	NaN	0.01161005	0.076878026	0.140633196	9.112115633	6.747807026	NaN	NaN	8.70353163	NaN	8.006002526	8.558722307	0.254008949	6.374197006
BGC823_STOMACH	0.058104787	6.213210583	NaN	NaN	8.366984248	1.676022649	8.30113916	8.728100215	NaN	NaN	NaN	0.002542614	0.027610704	0.009722804	NaN	3.077484131	NaN	2.985074282	9.039171909	NaN	0.899386704	2.124785662	2.867123127	NaN
BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.79903841	4.192019463	NaN	NaN	NaN	0.047747921	NaN	5.392519474	NaN	NaN	NaN	0.002542614	0.039766867	NaN	8.035946503	8.108772013	NaN	NaN	8.233942617	NaN	NaN	9.020644934	0.149704546	NaN
BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.275329709	NaN	1.610194564	NaN	NaN	0.046767816	NaN	8.000893639	NaN	NaN	NaN	0.010614841	0.011545843	NaN	8.530419302	3.913347483	3.342267036	2.152697563	8.420441779	NaN	2.033646345	8.632201821	0.054596163	2.201497078
BT20_BREAST	NaN	NaN	NaN	NaN	NaN	0.235477388	4.606862068	NaN	NaN	NaN	NaN	NaN	0.091061704	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.243600053	NaN	0.891976178	1.598887444
BT474_BREAST	0.033079438	NaN	2.62784934	NaN	0.981348634	NaN	4.164809704	8.020292071	NaN	8.738396718	NaN	0.012523146	0.024930065	NaN	2.085233688	NaN	6.58958292	NaN	1.870322704	6.539692402	9.143185	NaN	0.004063506	1.900625467
BT549_BREAST	0.01780379	8.566682322	2.042306185	NaN	NaN	0.082267649	NaN	NaN	NaN	8.071275328	NaN	0.002542614	0.087065749	NaN	NaN	7.813856125	NaN	2.96090889	1.14700067	4.086617947	8.607239045	4.408383846	0.045841247	3.06177783
BXPC3_PANCREAS	0.17851758	2.367327452	2.22893548	0.217092425	1.015475988	NaN	NaN	4.018966198	NaN	NaN	NaN	0.010298566	0.096808635	0.061868649	NaN	NaN	NaN	2.096042395	NaN	NaN	8.289853851	8.376733301	0.258847803	1.906178713
C2BBE1_LARGE_INTESTINE	0.549149871	1.822014451	0.712385118	0.30483374	0.560010612	NaN	NaN	1.169876575	NaN	8.834738015	NaN	0.019737855	0.046797812	NaN	1.733106971	NaN	NaN	NaN	NaN	NaN	1.021552205	NaN	9.104594102	1.174623609
C32_SKIN	0.007620106	8.347451162	NaN	0.982823133	NaN	3.406224251	NaN	NaN	NaN	7.24379921	NaN	0.079168119	0.289958537	0.082389861	2.478007555	NaN	NaN	1.607520461	0.203231975	NaN	0.935053527	NaN	0.219258904	NaN
C3A_LIVER	0.025190407	NaN	NaN	0.13500075	NaN	NaN	NaN	8.276984774	1.696187258	NaN	NaN	NaN	0.028261652	0.002542614	8.206119461	5.222708702	NaN	NaN	2.47342062	NaN	0.002542614	NaN	0.367974609	NaN
CAKI2_KIDNEY	0.099662483	1.118192554	3.228861332	NaN	8.851273649	2.450563908	NaN	8.381184645	9.041483447	NaN	NaN	0.003409147	0.120361447	8.314350178	NaN	NaN	NaN	3.096127987	0.145836413	NaN	8.27037502	8.743302419	1.120366454	2.08302331
CAL12T_LUNG	0.185387149	8.080013295	1.33098793	2.367756367	0.476265877	NaN	NaN	2.0953269	NaN	NaN	NaN	0.005383338	0.05255108	0.148701027	NaN	3.288858891	NaN	4.246960163	NaN	8.23739769	0.672173083	0.809571683	1.792771578	0.672160566
CAL27_UPPER_AERODIGESTIVE_TRACT	0.173958063	8.486004342	0.949989021	0.172338858	0.208415255	NaN	NaN	0.433088809	2.309431791	NaN	NaN	0.002542614	0.043048318	0.020673677	NaN	4.046081066	NaN	NaN	1.721276402	NaN	2.874865532	6.734239101	0.117037632	0.624637365
CAL78_BONE	0.081831008	8.834716502	NaN	NaN	8.295875317	0.162197798	NaN	8.682778362	NaN	8.753530902	NaN	0.009546833	0.073621593	NaN	NaN	8.182323393	NaN	1.752584696	0.137566328	8.144489037	8.12275317	2.896250486	0.571628869	NaN
CAL851_BREAST	0.141157091	1.197646022	0.876570761	8.430301747	0.578028142	0.127690107	NaN	2.043146133	9.431407792	NaN	NaN	0.02366408	0.027362019	0.06256634	NaN	3.091454029	NaN	NaN	0.322638541	NaN	0.221374631	1.670842886	0.194776297	0.588408232
CALU1_LUNG	0.096476123	0.144324616	NaN	0.057250198	NaN	3.713831425	NaN	9.080534174	NaN	2.97313714	NaN	0.018522579	0.12601155	0.002542614	NaN	8.979390777	NaN	NaN	0.449074149	NaN	8.278137411	8.314344424	8.602001496	NaN
CALU3_LUNG	0.041841503	8.784340242	1.045679569	8.619947882	2.173266649	NaN	NaN	0.119516589	8.515851921	NaN	NaN	NaN	0.035795975	8.983236831	NaN	6.664190769	NaN	NaN	8.51007067	NaN	8.00846385	9.201135622	0.228964597	2.33927083
CALU6_LUNG	0.165125921	2.774231672	1.156572461	0.754195035	8.704103248	NaN	NaN	NaN	NaN	NaN	NaN	0.003747538	0.075411312	0.097801387	NaN	2.921099663	NaN	NaN	NaN	NaN	0.625675917	4.428364754	1.300750017	NaN
CAMA1_BREAST	0.013019911	8.431911715	NaN	NaN	NaN	0.45428282	8.021945844	2.360326529	NaN	3.461487055	NaN	0.009369855	0.034508243	9.025460883	NaN	NaN	NaN	NaN	1.824441791	NaN	NaN	1.763262153	9.006338864	NaN
CAPAN2_PANCREAS	0.046799377	NaN	0.21800824	0.243209943	NaN	0.847367585	NaN	NaN	NaN	NaN	NaN	NaN	0.039662223	2.174126148	NaN	NaN	NaN	NaN	NaN	NaN	8.170026395	NaN	1.23053813	NaN
CAS1_CENTRAL_NERVOUS_SYSTEM	0.671148479	3.064806461	0.854193985	NaN	NaN	0.667993248	NaN	NaN	NaN	NaN	NaN	0.020818679	0.058757175	2.86344099	NaN	6.968060493	NaN	NaN	1.365725398	NaN	8.03157465	3.486557007	1.838650346	NaN
CCK81_LARGE_INTESTINE	0.316282302	NaN	0.46322754	NaN	0.38376525	NaN	NaN	NaN	NaN	NaN	NaN	0.135436818	0.038720414	0.116606072	NaN	NaN	NaN	NaN	NaN	NaN	1.515441775	NaN	0.246989042	0.430819601
CHL1_SKIN	0.15370594	8.983341298	8.783845015	NaN	2.291917086	0.193191305	NaN	0.355012804	NaN	2.660900593	NaN	0.005157469	0.005472332	8.062749515	NaN	8.069130706	NaN	6.274335384	0.177805036	8.079044145	8.060072672	1.694458485	0.911793828	4.165023327
CHP212_AUTONOMIC_GANGLIA	0.026552394	8.613148835	2.065060854	0.01387505	NaN	NaN	0.947803557	NaN	NaN	NaN	NaN	0.014549782	0.017423661	0.002542614	NaN	2.660742998	NaN	NaN	1.524531364	NaN	2.31303668	NaN	3.599191666	2.699476004
CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.706982791	NaN	0.799247503	NaN	NaN	0.023194904	NaN	NaN	NaN	NaN	NaN	0.003545192	0.034083955	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.031812809	2.313052893
CMK86_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.239659965	8	NaN	NaN	1.4887799	0.0867755	NaN	NaN	NaN	0.898197711	0.537929714	0.022118079	0.011368655	NaN	NaN	8.701235218	2.798432	NaN	3.9769466	5.3739433	0.9424523	8	0.07478482	NaN
COLO201_LARGE_INTESTINE	0.027629554	0.963818848	NaN	0.070625015	NaN	NaN	NaN	NaN	NaN	8.533590888	NaN	0.016980035	0.033525784	0.002542614	0.988582551	3.532775164	NaN	0.477441192	0.302302182	8.072775223	4.259620667	3.570448399	0.987230539	NaN
COLO205_LARGE_INTESTINE	0.016277781	2.530621767	1.393701673	0.056181729	0.032082096	NaN	8.645140948	NaN	1.273407578	1.097559094	2.783076763	NaN	0.037832394	0.002542614	1.712708354	3.611031294	NaN	0.371919692	0.506484389	2.90547204	0.910658479	8.262390133	0.075128905	NaN
COLO320_LARGE_INTESTINE	1.897327304	2.32715559	8.29027709	NaN	2.291812897	0.328147918	NaN	3.687685966	NaN	2.641251087	NaN	0.41214174	0.065224394	NaN	8.959784154	8.444743951	NaN	7.52420187	0.123010181	6.757509232	0.297326595	2.0111835	0.451859146	NaN
COLO677_LUNG	0.228606552	8.183113677	NaN	0.132810906	8.779822028	0.217191115	8.434412104	8.329063234	NaN	8.723273652	3.405977488	0.002542614	0.027603323	0.048200164	0.653670013	3.098463058	8.169068219	2.488507748	8.630823604	8.313472186	1.85041678	8.702471135	0.245881379	NaN
COLO678_LARGE_INTESTINE	0.013500599	0.872308373	0.47219193	0.002542614	0.189377457	2.286490679	0.211659193	3.175720453	NaN	NaN	NaN	NaN	0.108525284	0.014698777	0.221485421	5.25410223	NaN	NaN	8.094583633	8.035360726	8.436269384	8.596893198	8.072950778	4.273050308
COLO679_SKIN	0.031729337	1.487672806	NaN	0.071850047	NaN	0.37971276	NaN	NaN	NaN	8.342865131	8.160444366	0.00616653	0.002542614	0.002542614	9.554208563	8.221240947	8.054211392	0.449920207	0.552440166	7.095861912	NaN	2.610830545	3.230763912	NaN
COLO699_LUNG	0.198866218	0.593975365	1.065894842	NaN	8.15036476	0.179504871	6.435945988	3.122980356	NaN	2.787803888	NaN	0.024205308	0.098454379	0.072408073	0.623399258	NaN	NaN	NaN	0.265942246	2.679037571	0.602036417	0.848005712	0.356191307	2.496658325
COLO741_SKIN	0.660736561	3.067899227	NaN	8.138255578	8.618299106	NaN	2.06468749	8.290110951	8.725304512	NaN	NaN	0.013485374	0.093595706	0.020953318	NaN	NaN	NaN	8.193477834	NaN	NaN	2.695671558	8.940844427	0.41427651	NaN
CORL105_LUNG	0.728481233	1.042907119	NaN	NaN	0.53757745	NaN	NaN	NaN	NaN	NaN	NaN	0.034859952	0.249696359	0.395327657	NaN	NaN	NaN	NaN	8.565621736	NaN	NaN	NaN	4.602005959	2.709363461
CORL23_LUNG	0.479296297	8.556682562	NaN	NaN	NaN	0.459152222	NaN	NaN	NaN	NaN	NaN	0.002542614	0.057971004	2.2574444	NaN	7.093375	NaN	NaN	8.779542823	4.251617	8	4.6089516	1.07045579	NaN
COV318_OVARY	0.557713151	8.728316008	NaN	NaN	NaN	1.136308193	NaN	NaN	NaN	7.938932896	NaN	0.237964138	0.134353638	NaN	NaN	3.182703733	NaN	NaN	NaN	NaN	8.113463586	1.332648516	1.412104845	2.391966343
COV504_OVARY	0.261089951	8.455836536	0.44123137	NaN	8.989180119	NaN	NaN	NaN	NaN	8.011692339	NaN	0.026835697	0.072848007	0.29375574	NaN	3.283787727	NaN	NaN	8.445193254	NaN	2.317010164	1.262475967	1.427306652	2.139209032
DAOY_CENTRAL_NERVOUS_SYSTEM	0.485228688	8.484695875	NaN	NaN	NaN	0.170550123	NaN	NaN	1.204371452	7.009179115	NaN	0.016800923	0.035355568	NaN	NaN	NaN	NaN	4.572468758	8.295177647	NaN	2.145682573	8.389500332	0.06945134	5.853538036
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	0.238610581	8.069142898	8.896761131	0.054482624	2.569366217	0.055240039	NaN	NaN	NaN	2.124032021	3.571681023	0.027442006	0.105249546	0.002542614	8.414747474	4.480661869	NaN	8.567197854	0.101550035	4.534245491	8.09011932	8.295490887	0.264058053	NaN
DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.03076688	8.222583903	3.000225067	NaN	8.538102608	0.008811067	NaN	8.386159299	NaN	8.779198827	NaN	0.006232769	0.022190716	0.02122785	1.460168958	0.199420735	1.961661935	NaN	NaN	4.864268303	0.008746832	8.547960843	0.016684353	5.685574055
DETROIT562_UPPER_AERODIGESTIVE_TRACT	0.187755972	0.105092965	2.103766441	0.700736642	0.959799469	NaN	NaN	8.568179915	2.147413731	8.143018024	NaN	0.017282298	0.075608045	0.002542614	1.940104485	NaN	NaN	NaN	6.443496704	NaN	9.002188774	8.100612175	2.667163849	1.950086474
DKMG_CENTRAL_NERVOUS_SYSTEM	0.123933911	NaN	1.590067983	0.040257901	9.235823084	0.370027065	NaN	5.96993494	NaN	NaN	2.630233526	0.01999443	0.080188043	8.490422469	8.731462512	0.664803326	1.40881598	NaN	0.201574638	NaN	2.023636818	0.523219883	0.818448961	2.191557169
DMS114_LUNG	0.38508141	0.581314266	8.138706107	NaN	NaN	NaN	7.939729691	0.385773063	NaN	8.331872804	NaN	0.005887663	0.04127961	NaN	0.956522942	5.794850826	5.337802887	NaN	8.47970305	4.73190546	0.800305426	8.883526571	0.061847042	2.942611456
DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.33423841	NaN	NaN	NaN	NaN	0.10102839	NaN	NaN	NaN	NaN	2.241090775	NaN	0.02037731	NaN	NaN	NaN	2.625776291	NaN	NaN	NaN	NaN	NaN	0.382461786	NaN
DOV13_OVARY	0.345077246	7.687819004	NaN	NaN	NaN	0.066321604	NaN	4.644038677	NaN	3.850404263	NaN	0.002542614	0.04059203	NaN	NaN	8.631301019	NaN	8.18998044	8.714920599	3.473087788	8.101438945	2.957270384	0.174994901	NaN
DU145_PROSTATE	0.038949654	8.297514219	1.126564026	8.528176339	2.174155951	0.193434656	NaN	1.224770308	NaN	8.161029394	NaN	0.009754937	0.018848136	1.640651464	NaN	6.191699028	NaN	8.323139829	0.122951634	NaN	1.67248857	2.160370111	0.400743276	1.343788266
DV90_LUNG	0.110455282	NaN	NaN	1.395704269	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.012105352	0.049460497	0.028613655	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.179452732	5.74999094
EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.709325135	NaN	1.898514509	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.011070703	0.227277771	NaN	2.205078363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.280493855	NaN
EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.110284328	NaN	1.374880195	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.020156138	0.231675416	NaN	NaN	NaN	NaN	NaN	7.037983894	NaN	NaN	NaN	0.12533097	NaN
EBC1_LUNG	0.015572329	9.014387097	2.745554447	0.703030765	NaN	0.112344429	NaN	6.687931061	2.029722691	8.336495536	NaN	0.020002564	0.042743199	0.042187713	0.242108315	0.045940842	0.238291606	2.590489626	0.15309234	NaN	1.316774011	NaN	0.088389054	3.158746243
EFE184_ENDOMETRIUM	0.264932662	4.063054562	0.771646023	0.174795464	0.456324488	0.705881536	NaN	8.204432079	NaN	6.56737709	NaN	0.225404248	0.117884204	4.492999554	NaN	7.064960003	NaN	NaN	8.824409908	NaN	8.328719529	NaN	1.498484373	1.833742023
EFM19_BREAST	0.042367008	8.934178233	8.105140426	NaN	NaN	1.295749307	NaN	8.867133701	0.151104838	NaN	NaN	0.009638786	0.029494157	NaN	0.565274596	8.332003744	8.275729266	NaN	1.504322767	8.346948667	0.41806224	2.238785028	8.174907632	2.308192253
EFO21_OVARY	0.180796623	1.689927578	9.003418816	2.48457551	4.168848515	0.406576514	NaN	8.3594774	1.414652109	NaN	NaN	0.006518861	0.106696814	0.131599709	NaN	5.451784134	NaN	7.295510769	8.753716378	3.570172071	1.216094255	8.349193432	0.364084899	2.107769012
EFO27_OVARY	0.317508072	1.232770085	0.565176964	2.535234451	0.498583347	0.528772652	NaN	0.959794521	NaN	NaN	NaN	0.015999835	0.018401165	0.12823844	NaN	8.024758138	NaN	NaN	0.205170676	8.096802133	1.757758141	8.123735038	1.129960299	NaN
EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.133837685	8.5957363	0.224727899	0.315507233	8.849429867	0.046457723	NaN	NaN	NaN	0.004420172	NaN	NaN	0.014701611	0.002542614	0.742015183	0.77206701	4.014349461	7.605941296	0.195571572	2.654259682	1.259117365	8.052818296	0.043855116	1.032660127
EN_ENDOMETRIUM	0.104442269	0.063838921	NaN	NaN	NaN	2.951051474	NaN	NaN	NaN	NaN	NaN	0.004075329	0.04265321	NaN	NaN	8.423842674	NaN	NaN	0.535443246	8.046086544	1.382069349	8.325474595	NaN	NaN
ES2_OVARY	0.676031291	8.861239596	NaN	0.238065839	NaN	NaN	NaN	NaN	0.680171311	NaN	NaN	0.025155321	0.040530432	0.033823185	8.553304634	5.398576736	NaN	1.899696112	0.857353449	7.79406929	NaN	8.597683085	0.074187987	NaN
ESS1_ENDOMETRIUM	0.088794842	8.49196672	3.652647018	8.531389394	8.243766737	NaN	NaN	8.647834009	0.094544373	NaN	NaN	0.00969001	0.049008634	9.111799583	NaN	7.870743752	6.282022953	7.498805046	NaN	NaN	2.633247614	2.018911123	0.013007409	2.833131075
F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.391811848	0.210990131	NaN	0.050896905	6.356070042	0.564443171	NaN	NaN	4.516931057	8.093987239	NaN	0.010931497	0.004200439	0.092979163	0.914699435	2.99402523	NaN	NaN	0.071784317	NaN	0.351839483	0.823030233	2.581782818	NaN
FADU_UPPER_AERODIGESTIVE_TRACT	0.019789666	1.591280103	1.825864911	0.042181518	0.767408073	NaN	9.338980588	0.50554961	NaN	6.701414585	NaN	0.003430047	0.071137615	0.01276476	2.298291683	6.833144665	NaN	NaN	0.633930087	NaN	8.237484832	2.281645536	0.26270324	1.137323022
FU97_STOMACH	0.062063873	2.918102741	1.645186424	0.840691864	0.985450149	NaN	2.142477512	2.635005236	NaN	NaN	NaN	0.004284119	0.014576951	0.193015546	NaN	NaN	NaN	6.384712219	1.17538774	2.26104188	2.866034746	2.054125786	7.77111721	1.677787423
FUOV1_OVARY	0.297369093	0.41385439	0.072883494	0.002542614	8.502243047	0.539351523	NaN	0.57660687	NaN	NaN	NaN	0.002542614	0.022606689	0.002542614	NaN	7.542516708	NaN	NaN	1.195437431	2.391615152	4.043495655	0.23732914	8.669885315	1.27056098
G361_SKIN	0.07529626	8.247628175	5.056686878	0.321054727	2.433682442	0.108107723	1.679513574	2.981796265	2.521742105	4.008089542	2.250049353	0.01364277	0.017742746	0.010502953	8.064015347	3.751197577	6.553905964	0.924262345	0.657018721	3.829979897	8.141192635	8.196860581	0.370969176	6.468725681
G401_SOFT_TISSUE	0.070909321	1.302927375	0.832176507	NaN	3.924662113	0.079562925	8.05720847	8.274941514	NaN	8.699294488	3.732831717	0.009683895	0.010946852	2.484352112	0.643615782	8.332430113	8.036013554	NaN	1.898373961	3.188667774	1.61757946	2.3163867	0.142663613	8.207522126
G402_SOFT_TISSUE	0.079352327	8.284599783	1.484662294	NaN	NaN	NaN	2.143155575	9.087363641	NaN	NaN	8.013928297	0.002542614	0.112538114	8.172306175	NaN	6.327002525	NaN	NaN	1.156095624	0.868175209	7.513617516	1.985280633	0.064630814	8.584277151
